[Mar 5 20:48:49] 
[Mar 5 20:48:49] ==DUPLICATOR INSTALLER BOOTSTRAP v1.5.15==
[Mar 5 20:48:49] Success: dup-installer/vendor/select2/js/i18n/uk.js >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/vendor/select2/js/i18n/ne.js >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/vendor/select2/js/i18n/zh-TW.js >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/vendor/select2/js/i18n/km.js >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/vendor/select2/js/i18n/bs.js >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/vendor/select2/js/i18n/sq.js >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/vendor/select2/js/i18n/az.js >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/vendor/select2/js/i18n/is.js >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/vendor/select2/js/i18n/et.js >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/vendor/select2/js/i18n/it.js >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/vendor/select2/js/i18n/zh-CN.js >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/vendor/select2/js/i18n/ro.js >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/vendor/select2/js/select2.js >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/vendor/select2/js/select2.full.min.js >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/vendor/select2/js/select2.min.js >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/vendor/select2/js/select2.full.js >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/vendor/select2/css/select2.css >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/vendor/select2/css/select2.min.css >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/vendor/index.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/vendor/.htaccess >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/ctrls/ctrl.base.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/ctrls/index.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/ctrls/classes/class.ctrl.s0.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/ctrls/classes/class.ctrl.s3.funcs.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/ctrls/classes/class.ctrl.ajax.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/ctrls/classes/class.ctrl.s4.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/ctrls/classes/class.ctrl.extraction.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/ctrls/classes/class.ctrl.params.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/ctrls/classes/class.ctrl.dbinstall.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/ctrls/.htaccess >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/src/Models/ScanInfo.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/src/Models/ImportUser.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/src/Utils/InstallerUpsell.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/src/Utils/InstallerLinkManager.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/src/Utils/Log/Log.php >>> /home/dn072025/dynex.com.ua/www
[Mar 5 20:48:49] Success: dup-installer/src/Utils/Log/LogHandler.php >>> /home/dn072025/dynex.com.ua/www
